chars,ext,extraction_status,file,ocr_failed_pages,text_path,used_ocr
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__adiposity-__482e10.html,,project_output\05_extraction\NTV__busca1__openal__adiposity-__482e10.txt,False
66881,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__barriers-a__64fc81.pdf,,project_output\05_extraction\NTV__busca1__pubmed__barriers-a__64fc81.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__2013-aha-a__9c4472.html,,project_output\05_extraction\NTV__busca1__openal__2013-aha-a__9c4472.txt,False
71070,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__a-systemat__9dc93c.pdf,,project_output\05_extraction\NTV__busca1__pubmed__a-systemat__9dc93c.txt,False
223573,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__a-european__2dc7d3.pdf,,project_output\05_extraction\NTV__busca1__openal__a-european__2dc7d3.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__remote-die__dc2a81.html,,project_output\05_extraction\NTV__busca1__pubmed__remote-die__dc2a81.txt,False
9997,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__plant-base__9d9c13.html,,project_output\05_extraction\NTV__busca1__pubmed__plant-base__9d9c13.txt,False
38734,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__aligning-s__785e09.html,,project_output\05_extraction\NTV__busca1__pubmed__aligning-s__785e09.txt,False
92933,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__systematic__a623f1.pdf,,project_output\05_extraction\NTV__busca1__pubmed__systematic__a623f1.txt,False
10077,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__effects-of__2dcce7.html,,project_output\05_extraction\NTV__busca1__europe__effects-of__2dcce7.txt,False
10040,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__plant-base__c4f88a.html,,project_output\05_extraction\NTV__busca1__europe__plant-base__c4f88a.txt,False
59016,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__adherence-__df1181.pdf,,project_output\05_extraction\NTV__busca1__pubmed__adherence-__df1181.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__espen-guid__8a7c3b.html,,project_output\05_extraction\NTV__busca1__openal__espen-guid__8a7c3b.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__gut-microb__209bb8.html,,project_output\05_extraction\NTV__busca1__pubmed__gut-microb__209bb8.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__adherence-__17b6ac.html,,project_output\05_extraction\NTV__busca1__pubmed__adherence-__17b6ac.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__intensive-__5d52e7.html,,project_output\05_extraction\NTV__busca1__pubmed__intensive-__5d52e7.txt,False
69957,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__prevention__c9453a.pdf,,project_output\05_extraction\NTV__busca1__europe__prevention__c9453a.txt,False
86853,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__successful__792909.pdf,,project_output\05_extraction\NTV__busca1__openal__successful__792909.txt,False
68966,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__barriers-a__a54b96.pdf,,project_output\05_extraction\NTV__busca1__pubmed__barriers-a__a54b96.txt,False
245085,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-associ__f262c5.pdf,,project_output\05_extraction\NTV__busca1__pubmed__the-associ__f262c5.txt,False
15323,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__health-qua__e68609.pdf,,project_output\05_extraction\NTV__busca1__pubmed__health-qua__e68609.txt,False
17476,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__framework-__c96d52.html,,project_output\05_extraction\NTV__busca1__pubmed__framework-__c96d52.txt,False
9568,doc,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__mapping-di__c7f537.doc,,project_output\05_extraction\NTV__busca1__pubmed__mapping-di__c7f537.txt,False
10708,doc,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-effect__4d27a3.doc,,project_output\05_extraction\NTV__busca1__pubmed__the-effect__4d27a3.txt,False
92201,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__consensus-__02cffd.html,,project_output\05_extraction\NTV__busca1__pubmed__consensus-__02cffd.txt,False
53254,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__maternal-m__708f68.pdf,,project_output\05_extraction\NTV__busca1__pubmed__maternal-m__708f68.txt,False
64194,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__risk-facto__ef7c82.pdf,,project_output\05_extraction\NTV__busca1__pubmed__risk-facto__ef7c82.txt,False
